time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-29T04:51:15.190Z,-7.7836,118.737,10,4.9,mb,,84,2.93,1.39,us,us1000gjbf,2018-08-29T21:58:56.780Z,"57km NNE of Sampungu, Indonesia",earthquake,6,1.9,0.132,18,reviewed,us,us
2018-08-28T18:36:35.120Z,-8.9655,110.2167,61.73,5.5,mb,,41,1.089,1.17,us,us1000gj2a,2018-08-29T18:56:44.040Z,"112km S of Bambanglipuro, Indonesia",earthquake,5.6,6.3,0.055,115,reviewed,us,us
2018-08-26T03:54:03.860Z,-8.4622,116.9487,10,4.9,mb,,59,2.766,1.26,us,us1000ghfk,2018-08-26T04:14:58.040Z,"6km N of Labuhanmapin, Indonesia",earthquake,6.7,1.9,0.079,50,reviewed,us,us
2018-08-25T18:33:15.270Z,-8.4247,116.9299,9.21,5.5,mww,,34,2.748,0.92,us,us1000ghbd,2018-08-28T17:59:18.298Z,"10km N of Labuhanmapin, Indonesia",earthquake,5.9,2.9,0.051,37,reviewed,us,us
2018-08-23T03:44:07.680Z,-6.3269,103.5929,38.42,5.2,mb,,195,2.053,0.95,us,us1000gfvn,2018-08-23T03:59:51.040Z,"120km SSW of Biha, Indonesia",earthquake,11.4,9.3,0.091,40,reviewed,us,us
2018-08-22T22:48:42.710Z,-9.1812,114.776,69.94,5,mb,,42,0.937,1.25,us,us1000gfrs,2018-08-24T16:11:11.341Z,"54km SW of Kangin, Indonesia",earthquake,7.1,6.3,0.073,59,reviewed,us,us
2018-08-22T14:50:22.160Z,-8.1771,116.8216,10,4.9,mb,,49,2.657,0.95,us,us1000gfdn,2018-08-24T07:40:11.040Z,"25km ENE of Belanting, Indonesia",earthquake,2.9,1.9,0.099,32,reviewed,us,us
2018-08-21T16:04:10.970Z,-8.3127,116.727,10,4.5,mb,,68,2.552,0.71,us,us1000geqs,2018-08-21T17:05:17.040Z,"8km NNE of Sambelia, Indonesia",earthquake,7.6,1.9,0.118,21,reviewed,us,us
2018-08-21T01:09:25.490Z,-8.5359,116.9462,10,5.1,mww,,53,2.764,1.17,us,us1000geb4,2018-08-21T02:18:48.205Z,"1km NNE of Mapinkebak, Indonesia",earthquake,6,1.8,0.075,17,reviewed,us,us
2018-08-20T13:25:14.520Z,-8.4468,116.8477,11.5,4.5,mb,,48,2.666,0.83,us,us1000gdwn,2018-08-20T14:03:11.040Z,"12km NW of Labuhanmapin, Indonesia",earthquake,7.3,3.7,0.125,21,reviewed,us,us
