time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-16T00:22:26.240Z,-7.9176,106.7931,10,5.4,mww,,27,2.784,1.1,us,us2000c551,2017-12-16T13:09:09.879Z,"54km S of Tegalbuleud, Indonesia",earthquake,6.2,1.7,0.078,16,reviewed,us,us
2017-12-15T16:47:56.930Z,-7.7343,108.023,91.86,6.5,mww,,84,2.483,0.94,us,us2000c4v8,2017-12-16T13:10:51.829Z,"0km ESE of Cipatujah, Indonesia",earthquake,8.5,6.6,0.053,34,reviewed,us,us
2017-12-12T02:23:09.940Z,-7.2203,107.0503,94.67,4.5,mb,,88,3.368,0.91,us,us2000c35s,2017-12-15T17:10:15.301Z,"2km N of Gunungwaru Satu, Indonesia",earthquake,8.2,9.8,0.144,14,reviewed,us,us
2017-11-30T18:43:57.280Z,-9.4333,112.9713,57.07,4.5,mb,,162,1.508,0.65,us,us1000bjht,2017-12-01T01:17:04.040Z,"117km SSE of Krajan Tambakrejo, Indonesia",earthquake,9.8,9,0.091,35,reviewed,us,us
2017-11-26T19:06:43.290Z,-5.7464,105.6793,38.53,4.8,mb,,58,3.042,0.9,us,us2000bukh,2017-11-26T20:23:10.040Z,"0km E of Pasuruan, Indonesia",earthquake,9,6.1,0.078,50,reviewed,us,us
2017-11-25T13:14:06.800Z,-8.1289,117.9853,199.53,4.7,mb,,55,3.557,0.66,us,us2000buah,2017-11-25T13:38:10.040Z,"23km E of Labuhankananga, Indonesia",earthquake,6.6,6.1,0.078,49,reviewed,us,us
2017-11-22T16:53:10.120Z,-10.4745,120.1982,35,4.5,mb,,83,2.717,1.12,us,us2000bsye,2017-12-06T02:23:15.040Z,"31km S of Nggongi, Indonesia",earthquake,7.3,2,0.103,28,reviewed,us,us
2017-11-21T17:40:47.450Z,-9.9031,112.938,35,4.7,mb,,114,1.861,0.86,us,us2000bsen,2017-12-15T22:41:43.040Z,"167km S of Krajan Tambakrejo, Indonesia",earthquake,7.3,2,0.094,34,reviewed,us,us
2017-11-13T16:26:37.380Z,-7.9463,117.3807,10,4.7,mb,,69,3.238,1.04,us,us2000bmpp,2017-11-27T15:05:45.332Z,"48km WNW of Labuhankananga, Indonesia",earthquake,7.1,1.9,0.097,32,reviewed,us,us
2017-11-10T03:31:10.790Z,-8.4458,119.6921,164.27,4.6,mb,,72,2.524,1.01,us,us2000bl9x,2017-11-25T01:21:51.758Z,"21km WNW of Cempa, Indonesia",earthquake,7.7,7.3,0.116,22,reviewed,us,us
2017-11-08T21:54:19.570Z,-8.3071,115.5272,22.71,4.9,mww,,43,1.37,0.76,us,us2000bkk8,2017-12-14T03:44:19.040Z,"3km SW of Banjar Dukuh, Indonesia",earthquake,4.1,4.8,0.093,11,reviewed,us,us
2017-11-08T19:17:08.980Z,-6.5168,104.6033,55.43,5,mww,,37,2.697,0.96,us,us2000bkg8,2017-12-07T01:11:39.754Z,"113km S of Kotaagung, Indonesia",earthquake,7.1,3.6,0.078,16,reviewed,us,us
2017-11-01T05:39:36.680Z,-8.1816,107.2932,55.08,4.6,mb,,56,1.386,0.93,us,us1000azn7,2017-12-07T10:25:11.040Z,"74km SSW of Gunungsulah, Indonesia",earthquake,6.6,7.2,0.11,25,reviewed,us,us
2017-10-31T05:03:44.070Z,-8.7572,118.8503,110.15,4.9,mb,,72,3.351,1.44,us,us1000aywj,2017-12-07T06:49:12.040Z,"6km S of Rupe, Indonesia",earthquake,7.6,6.2,0.092,37,reviewed,us,us
2017-10-30T22:37:18.550Z,-8.6014,118.9841,110.17,5.5,mb,,42,3.217,1.15,us,us1000aysa,2017-11-14T03:33:53.398Z,"0km SE of Balai, Indonesia",earthquake,6.6,2.5,0.046,166,reviewed,us,us
2017-10-25T17:51:26.370Z,-9.0645,106.7463,10,4.5,mb,,65,1.773,1.32,us,us2000bftt,2017-11-25T21:47:50.040Z,"181km S of Buniasih, Indonesia",earthquake,6,1.9,0.145,14,reviewed,us,us
2017-10-25T17:19:59.940Z,-9.4826,113.0083,54.13,4.9,mb,,74,1.512,0.69,us,us1000awsm,2017-11-23T17:08:44.040Z,"123km SSE of Krajan Tambakrejo, Indonesia",earthquake,8,6.3,0.066,73,reviewed,us,us
2017-10-25T16:35:36.480Z,-9.6404,112.9337,35,5,mb,,59,1.673,0.96,us,us1000awru,2017-12-03T22:03:44.040Z,"138km S of Krajan Tambakrejo, Indonesia",earthquake,7.1,1.9,0.068,69,reviewed,us,us
2017-10-23T10:07:17.470Z,-8.1605,103.9884,17.35,4.7,mb,,93,2.83,0.92,us,us1000az5n,2017-11-30T10:43:28.040Z,"234km SW of Tugu Hilir, Indonesia",earthquake,7.4,5.1,0.142,15,reviewed,us,us
2017-10-14T14:09:49.540Z,-10.8545,112.3622,10,4.5,mb,,93,2.954,1.38,us,us1000aun1,2017-11-24T19:12:33.040Z,"273km S of Krajan Tambakrejo, Indonesia",earthquake,7.5,1.9,0.128,18,reviewed,us,us
2017-10-14T14:03:30.060Z,-10.796,112.3139,10,4.6,mb,,75,2.937,1.18,us,us1000aun9,2017-11-12T21:27:08.040Z,"268km S of Krajan Tambakrejo, Indonesia",earthquake,7.6,1.9,0.141,15,reviewed,us,us
2017-10-14T05:35:36.660Z,-10.8642,112.2993,10,4.7,mb,,76,2.999,0.78,us,us1000as11,2017-11-22T06:06:15.040Z,"276km S of Krajan Tambakrejo, Indonesia",earthquake,7.9,1.9,0.112,24,reviewed,us,us
2017-10-12T16:56:17.180Z,-9.7569,114.234,48.1,4.6,mb,,65,1.281,1.3,us,us1000aqt8,2017-11-09T22:28:08.980Z,"129km S of Sidorukun, Indonesia",earthquake,5.6,6.7,0.082,44,reviewed,us,us
2017-09-28T08:12:59.680Z,-10.7449,117.2263,10,4.7,mb,,97,3.781,1.08,us,us2000avte,2017-10-15T07:55:52.040Z,"213km SSE of Besisora, Indonesia",earthquake,6,1.9,0.133,17,reviewed,us,us
2017-09-25T18:10:43.200Z,-5.9298,106.3876,150.05,5.1,mb,,35,3.446,1.15,us,us2000aufz,2017-09-25T19:10:08.040Z,"10km ENE of Langgen, Indonesia",earthquake,8.3,5,0.067,73,reviewed,us,us
2017-09-25T07:16:24.970Z,-8.4217,107.0077,33.74,4.7,mb,,93,1.698,1.03,us,us2000au5i,2017-10-14T12:59:25.301Z,"106km SSW of Cigarogol, Indonesia",earthquake,6.8,5.2,0.097,32,reviewed,us,us
2017-09-24T22:05:54.610Z,-7.7805,107.7737,5.92,4.6,mb,,55,2.727,0.67,us,us2000au22,2017-10-31T03:14:41.040Z,"11km S of Cibera, Indonesia",earthquake,7.7,4.9,0.083,43,reviewed,us,us
2017-09-20T23:59:24.900Z,-6.1113,113.024,588,5.7,mww,,13,2.597,1.17,us,us2000as7r,2017-10-20T04:44:23.605Z,"102km NNE of Kemeduran, Indonesia",earthquake,7.9,1.8,0.06,27,reviewed,us,us
2017-09-20T16:25:11.310Z,-10.1961,118.8822,10.84,5.3,mb,,85,3.655,0.72,us,us2000arxl,2017-11-11T06:42:46.410Z,"60km SSW of Kahale, Indonesia",earthquake,7.5,4.1,0.063,85,reviewed,us,us
2017-09-13T19:37:27.000Z,-6.0986,112.9501,590.53,4.6,mb,,41,2.64,0.71,us,us2000alqh,2017-12-13T02:29:42.040Z,"100km NNE of Kemeduran, Indonesia",earthquake,10.1,7.7,0.069,63,reviewed,us,us
